Num,Script
0,비가 오면 벌레들이 행복해질까  맞아!
1,"비는 벌레들이 먹이를 찾기 쉽게 만들어주기 때문에, 벌레들은 비오는 날에 활동이 활발해져"
2,"날씨를 예측하는 사람들은 종종 ""기상 돌""을 사용해"
3,물에 담갔을 때 이 돌이 떠오르면 비가 올 것으로 예측한대!  과학적이진 않아..
4,일부 곤충은 날씨에 매우 민감해
5,"예를 들어, 꿀벌은 낮은 온도에서 활동이 줄어들고, 따뜻해지면 다시 활발해져"
6,번데기는 건조하고 따뜻한 환경을 좋아해서 마른 날씨도 좋아해!
7,마른 환경은 따뜻하게 유지되도록 도와주고 먹이를 찾기 쉽게 해주거든
8,물개는 비 오는 날씨를 좋아해!
9,"비는 물에서 사냥을 하는 데에 이점을 주고, 물에 뛰어들어 먹이를 찾을 때 도움이 돼!"
10,알파카는 추운 날씨에 적응을 잘해!
11,두꺼운 털로 덮여 있어서 추운 기후에서도 따뜻하게 유지되거든
12,"폭풍우의 중심에는 ""폭풍의 눈""이라는 조용한 지역이  존재하기도 해"
13,여기에서는 바람과 강한 비가 잠시 멈추고 날씨가 잔잔해질 수 있어
14,여름철에는 더 많은 번개가 발생해
15,여름의 습한 기후와 가열된 대기 때문에 번개 활동이 증가하거든!
16,아프리카의 루안다시 국립공원은 연간 평균 250일 이상의 번개 활동을 보이는 지역이야
17,세계에서 가장 많은 번개를 기록하는 곳 중 하나이지
18,천둥 소리는 번개보다 느리게 전파돼
19,그래서 실제로 동시에 발생해도 우리는  번개를 먼저 보고 그 후에 소리를 들어!
